actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,108,1,108,0.496159905484,0,1,0.00911141744545,1,0,0,0.417451565056,0.280766569386,8,0,0,1,95005,0,idle
2,109,1,109,0.179530325447,0,1,0.00530782863373,1,0,0,0.51805459032,0.357148796729,8,0,0,1,95326,0,idle
3,110,3,110,0.514349886735,0,1,0.00967814161868,1,0,0,0.340184745413,0.239033717116,8,0,0,1,95264,0,idle
4,111,3,111,0.247329534572,0,1,0.00743761707708,1,0,0,0.462182554266,0.26159026378,8,0,0,1,95719,0,idle
5,112,5,112,0,0,1,4.21697328703e-06,1,0,0,0.274467187497,0.215888440721,10,0,0,2,86777.656,0,idle
6,113,5,113,0.490924605887,0,1,0.0120341001685,1,0,0,0.497341982912,0.292138933849,10,0,3,1,95926,0,idle
7,114,7,114,0.497509753953,0,1,0.00564548890831,1,0,0,0.305738359245,0.252784136829,8,0,0,1,95145,0,idle
8,115,8,115,0.291141986123,0,1,0.00736752438243,1,0,0,0.348833585137,0.24899950153,8,0,0,2,95144.58,0,idle
