actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,116,0.38047614392,0.657874457839,0.546451348284,0,0,0.649167676898,0.770914842493,0.181986011119,0.0820678492229,111,0,0,5,0,2,private_intimacy
2,117,1,117,0.318147240193,0.752122445431,0.236154103766,0,0,0.326064005272,0.508686842253,0.262364237462,0.108470646188,117.25,0,0,3,0,4,sleep
3,118,3,118,0.346513457356,0.276604676032,0.322970585939,0,0,0.358727002993,0.470900069048,0.165893886417,0.113348641555,111.356625,0,0,5,0,4,sleep
4,119,3,2,0.522997375996,0.333958028107,0.388041271576,0,0,0.201891546991,0.36393259035,0.474145836405,0.361516098495,78.2420208333,0,0,19,0,2,talk
5,120,5,2,0.510695776083,0.477524114168,0.367327237897,0,0,0.433952379076,0.478940487162,0.180924855408,0.304017025009,98.9725381944,0,0,2,0,2,talk
6,121,5,2,0.54128285364,0.819314137388,0.310243951183,0,0,0.477404014337,0.54224180095,0.149753226474,0.0900599827244,100.425055556,0,0,1,0,5,talk
7,122,7,2,0.362621620063,0.310890453711,0.122666576572,0,0,0.0876157160218,0.234188399932,0.535179872857,0.387301234853,137.172791667,0,0,0,0,2,talk
8,123,7,2,0.526555581882,0.628744638693,0.35510367165,0,0,0.502014161968,0.550810719658,0.257413337062,0.185186695827,105.25,0,0,6,0,2,talk
9,124,9,2,0.580648509338,0.514609703056,0.4202618399,0.005733266211,0,0.175520577382,0.282384178178,0.407389375795,0.310879048032,78.87625,0,0,18,0,2,talk
10,125,9,2,0.344714429519,0.475499338519,0.175851933978,0.00330037550086,0,0.00406243440027,0.198404270147,0.594677221838,0.34407794387,119.235885417,0,0,2,0,1,leisure
11,126,11,126,0.277258539173,0.421932871855,0.239001472557,0,0,0.0208851323203,0.248856695275,0.214417276905,0.12812001077,100.675663194,0,0,1,0,4,sleep
12,127,12,2,0.398125354116,0.529563907961,0.496436109805,0,0,0.612394583932,0.616459136808,0.238833275905,0.368310688341,117.313421875,0,0,5,0,2,talk
13,128,13,128,0.27057395272,0.385003473562,0.390918719783,0,0,0.330635588648,0.347747775659,0.207777904415,0.124279688569,117.345975694,0,0,1,0,4,sleep
14,129,13,129,0.389254974072,0.264954212278,0.248004889069,0,0,0.363831933749,0.381046684944,0.236664993512,0.0942236275321,139.286552083,0,0,2,0,4,sleep
15,130,15,130,0.585777496144,0.575558236446,0.399580404751,0,0,0.427026828389,0.428356822187,0.217235713219,0.156379122885,96.302125,0,0,9,0,4,sleep
16,131,16,131,0.34652382964,0.53055792378,0.469941724664,0,0,0.486359558898,0.514633157177,0.17462394855,0.116237461071,103,0,0,4,0,4,sleep
