actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,116,0.547252901761,0.510321354541,0.241709168875,0,0,0.31790376972,0.663244702805,0.243124564824,0.154058509549,207.021293403,0,0,1,0,4,sleep
2,117,1,117,0.636024827828,0.580352776638,0.395076606427,0,0,0.756777017701,0.790865494231,0.12969673178,0.0843776850019,199.047210069,0,0,2,0,4,sleep
3,118,3,118,0.398767047181,0.464519540793,0.420556559919,0,0,0.58306044583,0.61238372346,0.131381083685,0.0684410538471,121.695854167,0,0,14,0,4,sleep
4,119,3,2,0.635527187903,0.750162454694,0.403281583455,0,0,0.740716905928,0.710468737602,0.0706138366579,0.269762007658,229.303713542,0,0,23,0,2,talk
5,120,5,120,0.59875135721,0.343260569218,0.216351616838,0,0,0.378291560226,0.363685599578,0.100379505916,0.0580927766704,236.118165972,0,0,9,0,4,sleep
6,121,5,2,0.594156766619,0.811216365691,0.435139392271,0,0,0.487030673904,0.524575269597,0.125108998146,0.282875561135,134.149887153,0,0,20,0,2,talk
7,122,7,2,0.532670273462,0.785703528306,0.18689779737,0,0,0.625573091816,0.641046249052,0.071518493448,0.16729729051,218.725508681,0,0,17,0,2,talk
8,123,7,123,0.36722527951,0.287783822325,0.285631622081,0,0,0.0690080325437,0.194648635431,0.511401628974,0.353304466842,134.502738889,0,0,10,0,4,sleep
9,124,9,2,0.457604993982,0.521726440589,0.332194305477,0,0,0.595520692296,0.531406464651,0.0775271292974,0.184103468872,129.175043403,0,0,30,0,2,talk
10,125,9,125,0.363889848915,0.265507841061,0.14566170767,0,0,0,0.0573172704762,0.277556953208,0.198117785088,198.698573264,0,0,63,0,4,sleep
11,126,11,2,0.343627944832,0.633477323345,0.209058001488,0,0,0.542069158289,0.550568223099,0.341570041744,0.0855210139362,161.175947917,0,0,44,0,2,talk
12,127,12,127,0.565247451664,0.312703619877,0.430860980947,0,0,0.45944040662,0.568751606008,0.241241834814,0.15816020919,104.986536458,0,0,18,0,4,sleep
13,128,13,128,0.598049636014,0.707313692232,0.357951053514,0,0,0.463723818958,0.581767214438,0.305309488514,0.165094774139,242.208541319,0,0,25,0,4,sleep
14,129,13,2,0.68541760479,0.499914241488,0.290262532605,0,0,0.67610280848,0.629231860525,0.121315717317,0.153130305055,156.760322917,0,0,86,0,2,talk
15,130,15,130,0.655459662602,0.578228641701,0.344324671175,0,0,0.526146489876,0.504063967462,0.302952641801,0.161427058834,195.285599653,0,0,25,0,4,sleep
16,131,16,2,0.752660481098,0.676461569137,0.408184263356,0,0,0.597089512758,0.620404821533,0.598358826484,0.333716411032,100.429833333,0,0,83,0,2,idle
