actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,108,1,108,0.728345151257,0.714395779755,0.271879438705,0,0,0.571140863733,0.649965997966,0.202494034307,0.175569616427,120,1,0,0,0,0,idle
2,109,1,109,0.736826574367,0.709416072574,0.317914984121,0,0,0.603797281285,0.643768858595,0.451254346519,0.298696062417,120,1,0,0,0,2,idle
3,110,3,110,0.728944644735,0.712496252352,0.320287474096,0,0,0.582669340963,0.659456745888,0.290471152288,0.192312109835,120,1,0,0,0,2,idle
4,111,3,111,0.737725344378,0.703627327475,0.255212765833,0,0,0.561566731148,0.640567674924,0.353163949132,0.235847647998,120,1,0,0,0,2,idle
5,112,5,112,0.731092658267,0.716565507741,0.318376392481,0,0,0.568234692617,0.647942199215,0.406139638987,0.272238530334,120,1,0,0,0,2,idle
6,113,5,113,0.734495808353,0.706604931223,0.295680673399,0,0,0.587485385724,0.659997902137,0.344599238339,0.214400835931,120,1,0,0,0,2,idle
7,114,7,2,0.739645805754,0.710634370113,0.232746403406,0,0,0.603719973949,0.655103075827,0.467851090295,0.357006700717,120,1,0,0,0,0,idle
8,115,8,115,0.736461000677,0.720327867472,0.201093154014,0,0,0.596472113108,0.659726352646,0.209969872093,0.214734472047,120,1,0,0,0,2,idle
