actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,2,0.386055781026,0.582133652688,0.445307767476,0,0,0.714658825141,0.847786720564,0.0818211061348,0.0592736928758,322.944678819,0,0,2,0,2,talk
2,117,1,117,0.385233886941,0.464880393925,0.191698843386,0,0,0.477720102453,0.63234963327,0.106236385952,0.0701079265882,502.797210069,0,0,3,0,4,sleep
3,118,3,2,0.460277251919,0.611705909383,0.107882647779,0,0,0.323082539554,0.607016499801,0.144077200175,0.112793759771,154.534794097,0,0,73,0,2,talk
4,119,3,2,0.607128742332,0.472304570302,0.165839751456,0,0,0.444692756427,0.507133523928,0.137302927973,0.517247888743,660.373985069,0,0,30,909.688,2,talk
5,120,5,120,0.455737546345,0.82728176204,0.161732871151,0,0,0.512709353328,0.701033549361,0.0794366701009,0.0549528487424,500.922913194,0,0,17,0,4,sleep
6,121,5,2,0.295929446649,0.31862250881,0.126749590253,0,0,0.285585646276,0.409817140345,0.160496590087,0.163157984978,373.386454861,0,0,42,0,2,talk
7,122,7,122,0.667586987706,0.634129286524,0.281469148965,0,0,0.647645305483,0.674546073497,0.134824862204,0.0647308238992,478.987980208,0,0,23,0,4,sleep
8,123,7,123,0.395340522662,0.787769032378,0.259013729533,0,0,0.499788845174,0.658088477865,0.156984698757,0.10575087747,258.265112153,0,0,40,0,4,sleep
9,124,9,124,0.664109643585,0.882766189655,0.361142107638,0,0,0.629855064987,0.614821706979,0.156735008419,0.0726572523333,182.218649653,0,0,51,0,4,sleep
10,125,9,2,0.542573023476,0.498030116413,0.488861713343,0,0,0.588001436045,0.405922791148,0.0667674099263,0.198818604698,266.323573264,0,0,150,0,2,talk
11,126,11,3,0.373794155884,0.488668911985,0.163636124639,5.34964691859e-05,0,0.591848596548,0.704540444633,0.216397736616,0.2459019877,339.287256597,0,0,47,0,2,acquire_food
12,127,12,2,0.595922149285,0.412071362284,0.33892332552,0,0,0.397487372018,0.478199418776,0.243595460716,0.539822543864,264.455616667,0,0,25,0,2,talk
13,128,13,128,0.434163871341,0.568158853324,0.487013354623,0,0,0.715800289848,0.633116084231,0.106040852292,0.0567330004088,576.136705903,0,0,34,0,4,sleep
14,129,13,129,0.351603831195,0.496003767673,0.314458622547,0,0,0.607220409093,0.678146256828,0.0774652879782,0.0689693837895,302.316995139,0,0,178,0,4,sleep
15,130,15,2,0.298782574963,0.712335068607,0.213692856817,0,0,0.238205154817,0.271915553263,0.35044828811,0.158929894499,425.454319097,0,0,47,0,2,leisure
16,131,16,131,0.461678825466,0.286372237613,0.170884069439,0,0,0.44354175301,0.526485690882,0.188114344145,0.118941565415,220.458548611,0,0,164,0,4,sleep
