actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,2,0.258334763701,0.46723950666,0.202649811696,0,0,0.348924491525,0.41620971971,0.170484648202,0.108382368484,114.125,0,0,0,0,2,leisure
2,117,1,117,0.363256757113,0.403025527785,0.236906157848,0,0,0.427512674241,0.544831875541,0.276135990671,0.14345411962,122.593755208,0,0,0,0,4,sleep
3,118,3,2,0.611922194706,0.436344398916,0.273981479187,0,0,0.464288964094,0.608064528593,0.459292953017,0.0320188043767,111.5,0,0,2,0,2,leisure
4,119,3,119,0.376720516437,0.335083613506,0.545874198663,0,0,0.634393630325,0.772653028962,0.201377941206,0.105227907249,95.5900416667,0,0,0,0,4,sleep
5,120,5,2,0.280019275898,0.472453015156,0.241268040765,0,0,0.0689749804397,0.166163398732,0.506002065822,0.317432221501,127.478921875,0,0,0,0,0,idle
6,121,5,121,0.327671687418,0.603628952993,0.191617342237,0,0,0.287633613598,0.478112404346,0.219093717031,0.0934607546761,133.152557292,0,0,0,0,4,sleep
7,122,7,6,0.397864610914,0.66751001221,0.521297758055,0,0,0.688629827895,0.527624146833,0.235238057344,0.211367515243,112.181473958,0,0,8,0,2,talk
8,123,7,123,0.353008593583,0.530684094937,0.302296215861,0,0,0.494056315265,0.586714965211,0.0961822295382,0.0646307149214,117.25,0,0,0,0,4,sleep
9,124,9,124,0.507385314515,0.356755836114,0.525320674457,0,0,0.373802042351,0.317948900779,0.124477604681,0.101130064286,115.049932292,0,0,2,0,4,sleep
10,125,9,125,0.291347853724,0.297564229277,0.170734325129,0,0,0.293489845747,0.33613896224,0.372286453243,0.224482063324,117.25,0,0,2,0,4,sleep
11,126,11,6,0.371028491534,0.453129266502,0.462993569473,0,0,0.317282175072,0.302382101734,0.205358138062,0.140990217061,123.460442708,0,0,5,0,2,talk
12,127,12,127,0.239963683056,0.297765920725,0.347693622963,0,0,0.249922058773,0.249803609524,0.138259164059,0.0745244104859,135.911927083,0,0,2,0,4,sleep
13,128,13,6,0.389790358898,0.656432449536,0.490570637657,0,0,0.438623876455,0.494012210507,0.263976819032,0.0371104274348,95.7529375,0,0,5,0,2,idle
14,129,13,129,0.350456002461,0.61616659045,0.485748707535,0,0,0.309593584372,0.180627164852,0.225798337375,0.0767694310519,103.333390625,0,0,8,0,4,sleep
15,130,15,130,0.306105080824,0.489951424326,0.174933682496,0,0,0.245809917041,0.266773021663,0.590347491803,0.429434722377,123.831713542,0,0,5,0,2,private_intimacy
16,131,16,131,0.670390529003,0.410793697263,0.49112178375,0,0,0.410542306223,0.291249994719,0.110569227739,0.0553795963678,107.529961806,0,0,11,0,4,sleep
