actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,108,1,2,0.571725134729,0.40315452731,0.249747189423,0,0,0.202234271218,0.238680684234,0.22794939819,0.165596442831,221.521652778,0,0,16,0,0,idle
2,109,1,109,0.332229158098,0.338012277274,0.412250382445,0,0,0.391014739442,0.679142477588,0.579806841988,0.356550608602,160.172326389,0,0,32,0,4,sleep
3,110,3,2,0.576529660507,0.372266217774,0.490698879688,0.00605120882952,0,0.082376494761,0.2217288422,0.459292953017,0.26743023013,145.386045139,0,0,70,0,2,leisure
4,111,3,2,0.362458727953,0.302482477701,0.621813205349,0,0,0.342724048811,0.314758771477,0.254319926958,0.171205452777,128.854826389,0,0,20,0,0,idle
5,112,5,2,0.271217926086,0.456954039368,0.684130502443,0,0,0.0658657223444,0.568864670901,0.222126938029,0.112189429959,144.058548611,0,0,1,0,0,idle
6,113,5,2,0.313503413704,0.323890388907,0.720761636334,0,0,0,0.220610901228,0.47939991891,0.274280592412,164.956517361,0,0,0,0,0,idle
7,114,7,2,0.38408274051,0.387625632533,0.709203248946,0,0,0.112403655905,0.276223505706,0.300262293692,0.2518396104,149.400673611,0,0,26,0,0,idle
8,115,8,2,0.34619115964,0.268032510073,0.585697747071,0,0,0.168752128474,0.292513648863,0.382397690164,0.292334334363,142.431972222,0,0,10,0,0,idle
