actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,116,0.46940398666,0.67661882713,0.203254686643,0,0,0.48498908097,0.717472538902,0.0984246855475,0.0540620611831,224.194678819,0,0,2,0,4,sleep
2,117,1,117,0.34778537829,0.662463317801,0.285583409834,0,0,0.673119591758,0.730755608432,0.125643150382,0.0789922789417,301.797210069,0,0,3,0,4,sleep
3,118,3,2,0.598571391794,0.649948989804,0.196061005883,0,0,0.427778033888,0.563253525783,0.239675477925,0.498360707298,154.820854167,0,0,18,0,1,private_intimacy
4,119,3,119,0.436651176728,0.589896377532,0.422102373507,0,0,0.612798479754,0.518717582103,0.152092971293,0.146768003386,494.053713542,0,0,24,0,4,sleep
5,120,5,120,0.526497661776,0.447854106847,0.169742099136,0,0,0.461250943689,0.586103659259,0.0949133593549,0.0621886980654,369.368165972,0,0,9,0,4,sleep
6,121,5,2,0.620542644842,0.69097608646,0.343424570901,0,0,0.508654542408,0.633313248202,0.14006511914,0.372264280074,230.136454861,0,0,38,0,1,private_intimacy
7,122,7,122,0.41167417861,0.306635552206,0.181087440853,0,0,0.401304686369,0.525269472535,0.29261697474,0.166466879328,390.725508681,0,0,18,0,4,sleep
8,123,7,2,0.55267326193,0.404553524369,0.331222775572,0,0,0.271161788851,0.434049460653,0.360697386944,0.30344251706,184.659842014,0,0,25,0,2,talk
9,124,9,124,0.54356489453,0.3606648292,0.332845391895,0,0,0.375423884169,0.456972815181,0.134863329554,0.0628743946113,169.052470486,0,0,37,0,4,sleep
10,125,9,125,0.464541779438,0.527977471747,0.206787959518,0,0,0.470802975843,0.458608112992,0.16108115994,0.114820062649,141.073573264,0,0,141,0,4,sleep
11,126,11,2,0.52647257262,0.795304098989,0.120993358953,0,0,0.283952189796,0.617060409421,0.194853604157,0.171144155566,249.464128125,0,0,45,0,2,talk
12,127,12,127,0.590954539715,0.629445183327,0.420459468894,0,0,0.537597320229,0.554131759437,0.0988647523778,0.0490838552836,142.8024625,0,0,23,0,4,sleep
13,128,13,128,0.510141456244,0.454134233722,0.277075113233,0,0,0.258370327306,0.379934224299,0.232420007999,0.136866142129,468.458541319,0,0,25,0,4,sleep
14,129,13,2,0.502989862078,0.58797529719,0.47385082582,0,0,0.615127727758,0.456330579807,0.0730000644597,0.127261265159,271.260322917,0,0,116,0,2,leisure
15,130,15,130,0.489436793715,0.918857725717,0.36307689311,0,0,0.695340313816,0.629485098593,0.47200619807,0.258806383808,222.404983681,0,0,41,0,4,sleep
16,131,16,131,0.248323926715,0.336682619838,0.105381109569,0,0,0,0.00210096365571,0.254636718352,0.152443211017,204.208548611,0,0,139,0,4,sleep
