actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,108,1,2,0.228603776662,0.165073584937,0.693204330448,0.0201728928722,0.0158335077802,0.277223657921,0.099591975585,0.34465534838,0.238487803137,209.402527778,0,0,0,5874.165,0,idle
2,109,1,109,0.342707712929,0.359629704041,0.556439221121,0,0,0,0.0252263031434,0.579806841988,0.356550608602,162.775017361,0,0,4,0,4,sleep
3,110,3,2,0.233591041375,0.384971890175,0.417947054775,0,0,0.376516517467,0.213480950652,0.459292953017,0.267876980054,169.687055556,0,0,0,0,2,leisure
4,111,3,2,0.351523817985,0.277536216915,0.560381753155,0,0,0,0,0.247791980014,0.163874891645,129.113510417,0,0,88,0,0,idle
5,112,5,2,0.278585939491,0.219807048677,0.684130502443,0,0,0,0.075306390586,0.506002065822,0.317422657228,143.220034722,0,0,0,0,0,idle
6,113,5,2,0.309392186922,0.167985685996,0.720761636334,0.0278081489736,0.0788173028661,0.121164866371,0.219974825645,0.47939991891,0.272478822222,168.025163194,0,0,0,11247.228,0,idle
7,114,7,2,0.402864229053,0.178093716581,0.53615851734,0,0,0,0.161236909929,0.548147954202,0.393127925395,134.069854167,0,0,5,0,0,idle
8,115,8,2,0.3109233504,0.453236786661,0.475214012614,0,0,0,0.216716231754,0.382397690164,0.292334332326,197.138159722,0,0,0,3431.684,0,idle
