actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,2,0.324081577001,0.285780740542,0.480063555267,0.0481165627743,0,0,0,0.818708710452,0.449490286994,519.246291667,0,0,1571,0,1,talk
2,117,1,117,0.458843484078,0.344605293397,0.662844578853,0,0,0,0.544543366564,0.604435174162,0.361130519704,42.8397013889,0,0,3,0,4,sleep
3,118,3,6,0.395598993084,0.373026587673,0.602875482533,0.0238953110727,0,0,0,0.908684216887,0.468880302936,83.9826493056,0,0,1813,0,1,talk
4,119,3,2,0.483868589053,0.696099670046,0.56626047986,0,0,0,0,0.573691096515,0.335709804305,38.6754618056,0,0,284,0,0,idle
5,120,5,2,0.221835321706,0.350893619581,0.383283179451,0,0,0.308395226858,0,0.501266704549,0.313251791021,5.65946180556,0,0,428,0,2,leisure
6,121,5,121,0.326595343664,0.262902652481,0.15693233276,0,0,0,0.566658003475,0.884670333412,0.457454365639,140.489180556,0,0,1191,0,4,sleep
7,122,7,2,0.321513049146,0.626488449431,0.571302830908,0,0,0.268501578586,0,0.596504365262,0.416478666493,144.147451389,0,0,27,0,2,leisure
8,123,7,123,0.376772180605,0.490783803021,0.677049445815,0,0,0.349427229554,0,0.876754117418,0.514812383184,146.731173611,0,0,23,0,4,sleep
9,124,9,2,0.424188838931,0.313253360969,0.386978739484,0,0,0.0969150712697,0,0.742316545956,0.482982384125,23.3777951389,0,0,355,0,0,idle
10,125,9,2,0.251947984668,0.302159914583,0.377640084557,0,0,0.134188385241,0,0.857190182332,0.436398964571,49.28878125,0,0,473,0,0,idle
11,126,11,2,0.556266274191,0.289226155796,0.397096222642,0,0,0,0,0.804651897398,0.454484757518,60.5373819444,0,0,72,0,0,idle
12,127,12,127,0.308453330096,0.67174570832,0.662477882532,0,0,0,0,0.763302387494,0.408438338679,0,0,0,342,0,4,sleep
13,128,13,128,0.420466523509,0.37671019112,0.380786192697,0,0,0,0,0.685502692321,0.382435919504,89.1612638889,0,0,200,0,4,sleep
14,129,13,129,0.383318878574,0.364263726365,0.36450242656,0,0,0,0,0.789892811041,0.410580661539,53.3840972222,0,0,240,0,4,sleep
15,130,15,130,0,0,1,0,1,0,0,0.861485520393,0.532514753968,126.925569444,0,0,21,64592,0,idle
16,131,16,131,0,0,1,0.104739173392,1,0,0,0.871010545223,0.527545838201,212.053045139,0,0,1271,58066,0,idle
