actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,116,0.430858261007,0.536888339165,0.15503695686,0,0,0.274971955901,0.547818298963,0.226694450774,0.133949549683,225.191489583,0,0,5,0,4,sleep
2,117,1,117,0.5254124488,0.683406433332,0.208898000809,0,0,0.558695094628,0.743058485499,0.137845600604,0.0742048114833,196.257859375,0,0,5,0,4,sleep
3,118,3,118,0.303749404418,0.519646872217,0.351988479475,0,0,0.566036370195,0.706990385881,0.0925005953845,0.0923612797558,249.481178472,0,0,27,0,4,sleep
4,119,3,119,0.380734700108,0.416153526012,0.369317893619,0,0,0.365692539853,0.513744319138,0.455080127982,0.333304702657,200.212137153,0,0,24,0,4,sleep
5,120,5,2,0.639708786748,0.408926994609,0.244018882454,0,0,0.36995087796,0.475589373596,0.342092004,0.336515313106,166.743142361,0,0,8,0,2,talk
6,121,5,2,0.721385088082,0.704809477576,0.249855391611,0,0,0.66248159834,0.743848863058,0.106250020658,0.102918734547,139.354930556,0,0,14,0,2,talk
7,122,7,122,0.383992141109,0.474675737884,0.339814798465,0,0,0.51689179393,0.670200964893,0.0943861644384,0.0855243490729,379.558394444,0,0,28,0,4,sleep
8,123,7,2,0.325164582452,0.475136808681,0.233829037289,0,0,0.364515731267,0.408440004909,0.379380804036,0.577253304984,243.960969444,0,0,23,0,2,talk
9,124,9,4,0.304473004881,0.471685378193,0.513772743259,0,0,0.442941693738,0.496535933078,0.644907772215,0.417170392892,90.3978388889,0,0,97,0,2,idle
10,125,9,125,0.355796208666,0.458616316292,0.496488053984,0,0,0.210018736098,0.388509464345,0.826412939892,0.447476500009,73.9028440972,0,0,81,0,4,sleep
11,126,11,126,0.347488114811,0.330553723718,0.471191965547,0,0,0.562395169517,0.422663709698,0.113474530636,0.0659461662602,207.070585069,0,0,32,0,4,sleep
12,127,12,2,0.511548115516,0.560424665544,0.317086530894,0,0,0.514038067205,0.583570967824,0.222349430532,0.523392939435,299.624006597,0,0,44,0,2,talk
13,128,13,128,0.354959510399,0.493939765885,0.405557236917,0,0,0.483471163323,0.433945802465,0.148284326081,0.163750106699,215.945803819,0,0,25,0,4,sleep
14,129,13,2,0.510535502372,0.547972314025,0.541677775714,0,0,0.589681819974,0.534551197077,0.146723248127,0.17675096086,235.543268056,0,0,24,0,2,leisure
15,130,15,2,0.502949182887,0.382660417361,0.410960914332,0,0.00201602103373,0.408319440421,0.421403398153,0.103070651482,0.226580056446,400.042177778,0,0,56,4551.547,2,leisure
16,131,16,2,0.667496481635,0.597606906831,0.441331715759,0,0,0.69966165907,0.604883462122,0.0503050545001,0.0660150435991,187.777352083,0,0,50,0,2,leisure
