actor,home,household,place,energy,water,sleep_pressure,fatigue,damage,leisure,social,deficit,desire,money,food,violations,failures,critical_seconds,phase,method
1,116,1,2,0.278175385399,0.536027993524,0.151809937599,0,0,0.327062652906,0.687624494947,0.173372573527,0.172474272497,321.1232375,0,0,8,0,2,talk
2,117,1,117,0.372121878692,0.292819329314,0.263956328502,0,0,0.585988527801,0.648474276917,0.13303070688,0.0866698739413,410.343755208,0,0,3,0,4,sleep
3,118,3,2,0.638546969252,0.649013988252,0.157488178786,0,0,0.467506161215,0.741717765343,0.44671653264,0.000695922376106,267.292248958,0,0,58,0,2,talk
4,119,3,119,0.384880006024,0.413583282366,0.260775563315,0,0,0.33052069112,0.454750016582,0.213630623243,0.165256526107,411.451912153,0,0,6,0,2,private_intimacy
5,120,5,120,0.384978766328,0.339843235615,0.248114222928,0,0,0.279896233561,0.519248112834,0.0693763325158,0.0470065263565,354.273684722,0,0,77,0,4,sleep
6,121,5,121,0.578890078489,0.344361850045,0.172259698593,0,0,0.489033634694,0.680552758598,0.290854334171,0.16368887603,336.777557292,0,0,7,0,4,sleep
7,122,7,122,0.501470384084,0.325880249597,0.476892879301,0,0,0.365465462414,0.401269038992,0.133501739447,0.0973281657805,225.339257292,0,0,22,0,4,sleep
8,123,7,2,0.695588218196,0.601494419246,0.316194306738,0,0,0.730827347832,0.807611213259,0.112150984683,0.326480420706,164.021401042,0,0,8,0,2,leisure
9,124,9,124,0.298455532289,0.474233654519,0.306961851238,0,0,0.397229262039,0.545456976105,0.208010361481,0.144922921007,220.096677083,0,0,28,0,4,sleep
10,125,9,2,0.424310986861,0.388184018949,0.153860856804,0,0,0.383659448714,0.414658188555,0.700594493771,0.127732934663,279.148720139,0,0,28,0,2,talk
11,126,11,126,0.436874669823,0.317825305089,0.180623984709,0,0,0.277383217062,0.478881339119,0.0765494776342,0.0657705342273,190.672945486,0,0,19,0,4,sleep
12,127,12,127,0.269192636349,0.477621213097,0.183373418972,0,0,0.442196276252,0.500042205676,0.1270150644,0.0756419877216,191.272844792,0,0,27,0,4,sleep
13,128,13,2,0.418297745419,0.670791194413,0.425712712543,0,0,0.385154639004,0.523208037626,0.177244899406,0.2896943186,267.402961806,0,0,109,0,2,leisure
14,129,13,129,0.691605092999,0.687479500727,0.399916022548,0,0,0.652662600606,0.648605761094,0.142023279828,0.0541485178807,189.466062153,0,0,63,0,4,sleep
15,130,15,130,0.513518286679,0.424808225558,0.471601267827,0,0,0.606438554833,0.566962908037,0.175333423391,0.108830183152,253.015430903,0,0,77,2030.211,4,sleep
16,131,16,2,0.544289641328,0.572468983992,0.498920862753,0,0,0.353528764012,0.297138385953,0.608263093098,0.179076783826,170.893675347,0,0,158,0,2,talk
